"N_Policy","Company","Category","Char","Started","Expired","TK","City","District","Mark","Use","Gender","Gross","Net","Commissions","id"
"32166649","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΖΒ9947","14/03/2020","14/09/2020","64100","ΕΛΕΥΘΕΡΟΥΠΟΛΗ","ΚΑΒΑΛΑΣ","FORD","ΕΙΧ","1",10.49,9.08,0.91,487
"50399","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΖΖΒ9947","14/03/2020","14/09/2020","64100","ΕΛΕΥΘΕΡΟΥΠΟΛΗ","ΚΑΒΑΛΑΣ","FORD","ΕΙΧ","1",1.5,1,0.22,487
"77918","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΖΒ9947","14/03/2020","14/09/2020","64100","ΕΛΕΥΘΕΡΟΥΠΟΛΗ","ΚΑΒΑΛΑΣ","FORD","ΕΙΧ","1",2.5,1.81,0.4,487
"5228735","Eurolife FFH","ΑΥΤΟΚΙΝΗΤΟ","ΖΖΒ9947","14/03/2020","14/09/2020","64100","ΕΛΕΥΘΕΡΟΥΠΟΛΗ","ΚΑΒΑΛΑΣ","FORD","ΕΙΧ","1",87.67,60.08,13.22,487
"668726","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΗΖ4866","27/07/2020","27/01/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",11,7.36,0.29,464
"91517","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΗΖ4866","27/07/2020","27/01/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",2.5,1.81,0.4,464
"32111840","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΗΖ4866","27/07/2020","27/01/2021","17455","ΑΛΙΜΟΣ","ΑΤΤΙΚΗΣ","PEUGEOT","ΕΙΧ","2",106.61,72.87,7.29,464
"31815636","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΚΡ8828","05/04/2020","05/04/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","TOYOTA","ΕΙΧ","1",288.01,197.6,19.76,416
"32099394","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΟΟ3553","03/01/2020","03/01/2021","15124","ΜΑΡΟΥΣΙ","ΑΤΤΙΚΗΣ","SMART","ΕΙΧ","2",489.75,336.99,33.7,457
"32232797","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΜΡ5232","06/05/2020","06/11/2020","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",102.39,69.98,7,167
"117953","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΜΡ5232","06/11/2020","06/05/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",2.5,1.81,0.4,167
"53896","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΜΡ5232","06/05/2020","06/11/2020","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",1.5,1,0.22,167
"69648","INTERASCO","ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ)","ΥΜΡ5232","06/11/2020","06/05/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",1.5,1,0.22,167
"32232797","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΥΜΡ5232","06/11/2020","06/05/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",104.15,71.18,7.12,167
"283603","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΜΡ5232","06/11/2020","06/05/2021","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",11,7.66,0.31,167
"654751","MAPFRE ASISTENCIA","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΥΜΡ5232","06/05/2020","06/11/2020","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",11,7.36,0.29,167
"85027","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΥΜΡ5232","06/05/2020","06/11/2020","10673","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","OPEL","ΕΙΧ","1",2.5,1.81,0.4,167
"31693824","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΖΥΥ9022","27/12/2020","27/12/2021","11525","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","1",254.83,174.95,17.5,218
"122049","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΥ9022","27/12/2020","27/12/2021","11525","ΑΘΗΝΑ","ΑΤΤΙΚΗΣ","BMW","ΕΙΧ","1",5,3.62,0.8,218
"126056","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΖΥΚ7739","16/11/2020","16/02/2021","17676","ΚΑΛΛΙΘΕΑ","ΑΤΤΙΚΗΣ","FORD","ΕΙΧ","1",1.25,0.91,0.2,244
