N_Policy,Company,Category,Char,Started,Expired,District,Gender,Gross,Net,Commissions,id
M20230547499-1,Hellas Direct,ΑΥΤΟΚΙΝΗΤΟ,ΖΗΕ9073,09/05/2023,09/05/2024,ΑΤΤΙΚΗΣ,1,105.73,90.9,11.36,1009
517966,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΗΕ9073,09/05/2023,09/05/2024,ΑΤΤΙΚΗΣ,1,4,2.9,0.38,1009
927977,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΗΕ9073,09/05/2023,09/05/2024,ΑΤΤΙΚΗΣ,1,22,15.3,0.61,1009
690192,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΙΜΑ6644,12/12/2023,12/12/2024,ΑΤΤΙΚΗΣ,0,4,2.9,0.38,1564
967688,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΙΜΑ6644,12/12/2023,12/12/2024,ΑΤΤΙΚΗΣ,0,24,16.7,4.34,1564
33803393,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΙΜΑ6644,12/12/2023,12/12/2024,ΑΤΤΙΚΗΣ,0,193.63,132.66,14.59,1564
458905,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΖΚΗ4561,03/03/2023,03/03/2024,ΑΤΤΙΚΗΣ,1,5,3.62,0.87,1055
198532,INTERASCO,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ (ΟΧΗΜΑ),ΖΚΗ4561,03/03/2023,03/03/2024,ΑΤΤΙΚΗΣ,1,3,2.01,0.48,1055
32636925,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΖΚΗ4561,03/03/2023,03/03/2024,ΑΤΤΙΚΗΣ,1,173.85,118.88,13.08,1055
913003,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΚΗ4561,03/03/2023,03/03/2024,ΑΤΤΙΚΗΣ,1,22,15.3,0.61,1055
934653,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΑΖΚ3049,15/06/2023,15/06/2024,ΑΧΑΙΑΣ,0,22,15.3,0.61,1506
33596249,ANYTIME,ΑΥΤΟΚΙΝΗΤΟ,ΑΖΚ3049,15/06/2023,15/06/2024,ΑΧΑΙΑΣ,0,210.7,144.24,15.87,1506
547162,ARAG,ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ,ΑΖΚ3049,15/06/2023,15/06/2024,ΑΧΑΙΑΣ,0,4,2.9,0.38,1506
61416249,GROUPAMA,ΑΥΤΟΚΙΝΗΤΟ,ΖΧΜ1638,17/12/2023,17/12/2024,ΑΤΤΙΚΗΣ,1,242.69,173.16,40.36,1158
965589,EUROP ASSISTANCE,ΟΔΙΚΗ ΒΟΗΘΕΙΑ,ΖΧΜ1638,17/12/2023,17/12/2024,ΑΤΤΙΚΗΣ,1,24,16.7,4.34,1158
