N_Policy,Company,Category,Char,Started,Expired,District,Gross,Net,Commissions,id
19013096186,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΚΟ5689,27/12/2016,27/03/2017,NA,65,43.76,8.75,1864
213027205,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΚΟ5689,27/06/2016,27/12/2016,NA,127,85.77,17.15,1864
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/03/2016,24/09/2016,ΑΤΤΙΚΗ,129,87.41,17.48,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/09/2016,24/03/2017,ΑΤΤΙΚΗ,129,87.28,17.46,1859
19012708806,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΝ2819,24/09/2015,24/03/2016,ΑΤΤΙΚΗ,129,87.41,17.48,1859
30144598,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΟ4029,02/10/2015,02/04/2016,ΑΤΤΙΚΗ,117.91,80.78,16.16,1891
30144598,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΟ4029,02/04/2016,02/10/2016,ΑΤΤΙΚΗ,107.15,73.43,14.69,1891
30144598,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΖΟ4029,02/10/2016,02/04/2017,ΑΤΤΙΚΗ,108.08,74.11,14.82,1891
ΕΚ7763,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΕ6273,30/06/2016,30/12/2016,ΑΤΤΙΚΗ,114.5,78.34,15.67,1925
19012968583,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΗΤ8275,05/10/2016,05/04/2017,ΑΤΤΙΚΗ,145,98.15,19.63,167
212899599,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΗΤ8275,05/04/2016,05/10/2016,ΑΤΤΙΚΗ,132,89.24,17.85,167
19012954730,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΧ9746,29/09/2016,29/03/2017,NA,128,86.61,17.32,1071
19012954730,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΧ9746,29/03/2016,29/09/2016,NA,128,86.66,17.33,1071
6168265,GROUPAMA,ΠΥΡΟΣ,NA,11/08/2016,11/08/2017,ΑΤΤΙΚΗ,98.39,71.27,17.1,1913
P0101806450,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΚΝ1811,24/08/2016,24/02/2017,ΑΤΤΙΚΗ,240.21,179.04,35.81,69
31619077762,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΟΕΙ0545,26/08/2016,26/08/2017,ΑΤΤΙΚΗ,82.58,56.36,11.27,69
1497416,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΖ4528,11/02/2016,11/05/2016,NA,33,21.47,4.25,1854
19012618337,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΥΝ4248,24/01/2016,24/07/2016,NA,127,85.9,17.18,1130
19012618337,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΥΝ4248,24/07/2016,24/01/2017,NA,127,85.77,17.15,1130
1990887,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΒΧΤ0763,31/10/2016,23/04/2017,ΑΤΤΙΚΗ,2.26,1.57,0.31,1875
1990887,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΒΧΤ0763,23/10/2016,23/04/2017,ΑΤΤΙΚΗ,61.38,42.07,8.41,1875
30687605,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΒΧΤ0763,23/04/2016,23/10/2016,ΑΤΤΙΚΗ,61.38,42.18,8.44,1875
11388028,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΤΕ8900,11/12/2016,11/06/2017,NA,96.83,66.34,13.27,1070
11388028,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΤΕ8900,11/06/2016,11/12/2016,NA,96.83,66.34,13.27,1070
P0101810550,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ2236,17/10/2016,17/04/2017,NA,40.61,30.69,6.14,1895
30491378,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ2236,17/04/2016,17/10/2016,NA,40.22,27.69,5.54,1895
30491378,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΖΜ2236,17/10/2015,17/04/2016,NA,40.22,27.69,5.54,1895
19012947461,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΕΤ3718,23/09/2016,23/03/2017,ΑΤΤΙΚΗ,145,98.15,19.63,1278
30536548,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΧΥ59,29/11/2015,29/05/2016,ΑΤΤΙΚΗ,53.72,37.02,7.4,1278
30536548,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΧΥ59,29/05/2016,29/11/2016,ΑΤΤΙΚΗ,54.29,37.43,7.49,1278
11423329,GENERALI,ΖΩΗΣ,NA,24/08/2016,24/08/2017,ΑΤΤΙΚΗ,255.34,176.25,31.599999999999998,1278
212878477,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΕΤ3718,23/03/2016,23/09/2016,ΑΤΤΙΚΗ,145,98.28,19.66,1278
P0124031824,AIG,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΜ5071,01/07/2016,01/07/2017,ΤΡΙΠΟΛΗΣ,196.79000000000002,146.45,29.29,1233
50859404,ΕΘΝΙΚΗ Ασφαλιστική,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΜΥ5918,28/07/2016,28/01/2017,ΑΤΤΙΚΗ,231.04,164.82,37.91,1912
50859404,ΕΘΝΙΚΗ Ασφαλιστική,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΙΜΥ5918,28/01/2016,28/07/2016,ΑΤΤΙΚΗ,1.83,1.59,0.11,1912
50859404,ΕΘΝΙΚΗ Ασφαλιστική,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΜΥ5918,28/01/2016,28/07/2016,ΑΤΤΙΚΗ,236.81,168.93,38.85,1912
50859404,ΕΘΝΙΚΗ Ασφαλιστική,ΟΔΙΚΗΣ ΒΟΗΘΕΙΑΣ,ΙΜΥ5918,28/07/2016,28/01/2017,ΑΤΤΙΚΗ,1.83,1.59,0.11,1912
1924559,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΝ6859,09/12/2015,09/12/2016,NA,217.31,148.71,10.41,1869
1924559,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΜΝ6859,09/12/2016,09/12/2017,NA,234.81,160.65,30.52,1869
11358412,GENERALI,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΑ4205,15/04/2016,15/04/2017,ΑΤΤΙΚΗ,311.77,213.66,39.62,734
ΕΞ0505,ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΧΒ7275,30/10/2016,30/04/2017,ΑΤΤΙΚΗ,110,75.19,15.04,1928
1992841,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΗ4095,01/11/2016,01/05/2017,ΑΤΤΙΚΗ,105.11,72.21,14.44,1878
9510091,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΗ4095,01/11/2015,01/05/2016,ΑΤΤΙΚΗ,104.84,71.84,14.37,1878
9510091,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΖΗ4095,01/05/2016,01/11/2016,ΑΤΤΙΚΗ,105.1,72.03,14.41,1878
7199706992,INTERASCO,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΒΗ2291,21/05/2016,21/11/2016,ΑΤΤΙΚΗ,188.64,124.22,24.849999999999998,430
7199706992,INTERASCO,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΒΗ2291,21/11/2016,21/05/2017,ΑΤΤΙΚΗ,160.41,105.68,21.14,430
213160841,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΧΡ8442,09/10/2016,09/04/2017,ΑΤΤΙΚΗ,154,103.88,20.78,1884
1975571,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΒ8137,02/09/2016,02/12/2016,NA,58.52,40.02,7.6,1870
1975571,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΜΒ8137,02/12/2016,02/03/2017,NA,57.88,39.58,7.52,1870
7199721237,INTERASCO,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΚΥ8007,16/11/2016,16/11/2017,ΑΤΤΙΚΗ,303.68,200.12,40.02,766
31619084409,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΕ8352,17/12/2016,17/03/2017,ΛΕΣΒΟΥ,40.68,27.78,5.56,1018
31619084409,ΑΓΡΟΤΙΚΗ ΑΣΦΑΛΙΣΤΙΚΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΕ8352,17/09/2016,17/12/2016,ΛΕΣΒΟΥ,40.68,27.78,5.56,1018
1984788,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΝ257,07/10/2016,04/04/2017,NA,1.74,1.2,0.24,1873
1984788,Eurolife FFH,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΝ257,04/10/2016,04/04/2017,NA,51.55,35.36,7.07,1873
30697185,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΚΝ257,04/04/2016,04/10/2016,NA,51.54,35.46,7.09,1873
8170006892,ΕΥΡΩΠΗ ΑΕΓΑ,ΠΥΡΟΣ,NA,31/12/2016,31/12/2017,NA,100.61,69.69,16.38,1920
1467661,INTERNATIONAL LIFE,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΖ8585,04/12/2015,04/12/2016,ΛΕΣΒΟΥ,137,91.5,18.12,621
7199723589,INTERASCO,ΑΥΤΟΚΙΝΗΤΩΝ,ΜΥΖ8585,05/12/2016,05/12/2017,ΛΕΣΒΟΥ,136.15,89.41,17.88,621
19012682182,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΗΤ7017,07/03/2016,07/09/2016,NA,140,95.23,19.05,30
19012682182,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΗΤ7017,07/09/2016,07/03/2017,NA,140,95.1,19.02,30
212613192,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΗΤ7017,07/09/2015,07/03/2016,NA,140,95.23,19.05,30
30457374,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΜ2627,05/03/2016,05/09/2016,NA,160.85,110.18,22.04,1894
30591690,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΜ7512,24/07/2016,24/01/2017,NA,115.92,79.37,15.87,1894
30591690,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΜ7512,24/01/2016,24/07/2016,NA,114.65,78.54,15.71,1894
30457374,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΜ2627,05/09/2016,05/03/2017,NA,154.43,105.84,21.17,1894
30613234,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΠΥΡΟΣ,NA,12/01/2016,12/01/2017,NA,84.99,64.02,16.65,1894
30457374,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΑΙΜ2627,05/09/2015,05/03/2016,NA,159.09,109.02,20.59,1894
19013045447,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΙ5165,23/11/2016,23/05/2017,ΑΤΤΙΚΗ,111,75.11,15.02,213
212976465,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΙ5165,23/05/2016,23/11/2016,ΑΤΤΙΚΗ,111,75.11,15.02,213
212647222,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9490,05/10/2015,05/04/2016,ΑΤΤΙΚΗ,129,87.41,17.48,1860
19012716210,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9490,05/04/2016,05/10/2016,ΑΤΤΙΚΗ,129,87.41,17.48,1860
19012716210,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΖΖΖ9490,05/10/2016,05/04/2017,ΑΤΤΙΚΗ,129,87.28,17.46,1860
11458633,GENERALI,ΑΣΤΙΚΗΣ ΕΥΘΥΝΗΣ,NA,08/11/2016,08/11/2017,ΑΤΤΙΚΗ,146.51,110.78,22.16,1843
102777243,ALLIANZ ΕΥΡΩΠΑΙΚΗ ΠΙΣΤΗ,ΑΥΤΟΚΙΝΗΤΩΝ,ΚΡΖ9759,11/11/2016,11/11/2017,NA,156.63,105.3,21.06,562
30604914,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΗ1030,30/07/2016,30/01/2017,ΑΤΤΙΚΗ,152.99,104.82,20.96,1897
30604914,ΙΝΤΕΡΑΜΕΡΙΚΑΝ,ΑΥΤΟΚΙΝΗΤΩΝ,ΙΗΗ1030,30/01/2016,30/07/2016,ΑΤΤΙΚΗ,151.25,103.67,20.73,1897
11399357,GENERALI,ΖΩΗΣ,NA,04/12/2016,04/01/2017,ΑΤΤΙΚΗ,22.02,17.41,2.95,504
19012624166,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΗΟ5242,02/02/2016,02/08/2016,ΑΤΤΙΚΗ,127,85.75,17.15,504
11399357,GENERALI,ΖΩΗΣ,NA,04/07/2016,04/08/2016,ΑΤΤΙΚΗ,56.75,17.41,2.95,504
11399357,GENERALI,ΖΩΗΣ,NA,04/11/2016,04/12/2016,ΑΤΤΙΚΗ,22.02,17.41,2.95,504
11399357,GENERALI,ΖΩΗΣ,NA,04/10/2016,04/11/2016,ΑΤΤΙΚΗ,22.02,17.41,2.95,504
11399357,GENERALI,ΖΩΗΣ,NA,04/08/2016,04/09/2016,ΑΤΤΙΚΗ,22.02,17.41,2.95,504
19012624166,ΙΝΤΕΡΣΑΛΟΝΙΚΑ,ΑΥΤΟΚΙΝΗΤΩΝ,ΥΗΟ5242,02/08/2016,02/02/2017,ΑΤΤΙΚΗ,127,85.75,17.15,504
11399357,GENERALI,ΖΩΗΣ,NA,04/09/2016,04/10/2016,ΑΤΤΙΚΗ,22.02,17.41,2.95,504
