"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","District","Gross","Net","Commissions","id"
"85526","ALLIANZ еуяыпаийг пистг","астийгс еухумгс","мщО сУЛБЭКАИО",NA,"27/01/2017","27/01/2018",NA,NA,52,37.68,9.42,1872
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/10/2017","25/04/2018",NA,NA,129,87.63,17.53,1702
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/07/2017","25/10/2017",NA,NA,66,44.71,8.94,1702
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/01/2017","25/07/2017",NA,NA,139,93.74,18.75,1702
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/09/2017","24/03/2018","пеияаиас","аттийг",129,87.28,17.46,1696
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/03/2017","24/09/2017","пеияаиас","аттийг",129,87.28,17.46,1696
"19013526395","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уял3019","20/05/2017","20/05/2018",NA,NA,235,159.06,31.81,1808
"7199803529","INTERASCO","аутойимгтым","мщО сУЛБЭКАИО","гай3993","06/02/2017","06/02/2018","фаваяы","гкеиас",160.53,105.39,21.08,1871
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/04/2017","02/10/2017","гкиоупокг","аттийг",108.58,74.42,14.88,1730
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/10/2017","02/04/2018","гкиоупокг","аттийг",111.04,76.14,15.23,1730
"11115568","думалис","аутойимгтым","мщО сУЛБЭКАИО","уле6273","09/06/2017","09/12/2017","йаккихеа","аттийг",107.95,70.86,14.17,1764
"31350710","имтеяалеяийам","аутойимгтым","мщО сУЛБЭКАИО","уле6273","09/12/2017","09/12/2018","йаккихеа","аттийг",126.46,86.29,17.26,1764
"213751384","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","ффй7207","20/11/2017","20/02/2018","кебадеым","боиытиас",65,44.01,8.8,1207
"213477583","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уеу3348","03/06/2017","03/12/2017","лосвато","аттийг",142,96.17,19.23,1542
"19012968583","имтеясакомийа","аутойимгтым","аМАМщЫСГ","угт8275","05/04/2017","05/10/2017","ахгма","аттийг",145,98.15,19.63,167
"213736234","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уля5232","06/11/2017","06/05/2018","ахгма","аттийг",142,96.17,19.23,167
"19012954730","имтеясакомийа","аутойимгтым","аМАМщЫСГ","флв9746","29/09/2017","29/03/2018",NA,NA,128,86.61,17.32,1071
"19012954730","имтеясакомийа","аутойимгтым","аМАМщЫСГ","флв9746","29/03/2017","29/09/2017",NA,NA,128,86.61,17.32,1071
"6168265","GROUPAMA","пуяос","аМАМщЫСГ",NA,"11/08/2017","11/08/2018","йаккихеа","аттийг",98.39,71.27,17.1,1752
"09000242017","ERGO A.A.E.Z","аутойимгтым","мщО сУЛБЭКАИО","оеи545","26/08/2017","26/08/2018","ахгма","аттийг",83,57.52,11.13,69
"P0101806450","AIG","аутойимгтым","аМАМщЫСГ","ийм1811","24/08/2017","24/02/2018","ахгма","аттийг",227.54,169.67,33.93,69
"P0101806450","AIG","аутойимгтым","аМАМщЫСГ","ийм1811","24/02/2017","24/08/2017","ахгма","аттийг",231.96,172.89,34.58,69
"6177815","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"16/12/2017","16/06/2018","дажмг","аттийг",75.39,54.6,12.56,1857
"19012618337","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фум4248","24/07/2017","24/01/2018",NA,NA,119,80.36,16.07,1130
"19012618337","имтеясакомийа","аутойимгтым","аМАМщЫСГ","фум4248","24/01/2017","24/07/2017",NA,NA,127,85.77,17.15,1130
"213539070","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","угб3595","28/06/2017","28/12/2017",NA,NA,116,78.37,15.67,1822
"213335040","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уой1827","09/03/2017","09/06/2017",NA,NA,67,45.51,9.1,1807
"19013404003","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уой1827","09/06/2017","09/09/2017",NA,NA,67,45.51,9.1,1807
"11547511","GENERALI","аутойимгтым","мщО сУЛБЭКАИО","ате8900","11/06/2017","11/06/2018",NA,NA,170.52,116.81,23.36,1070
"5200232588","EUROP  ASSISTANCE","одийгс богхеиас","мщО сУЛБЭКАИО","ффя7655","12/06/2017","12/06/2018","йакабяута-аваиас","авазас",29,25.22,6.31,1849
"P0101844431","AIG","аутойимгтым","мщО сУЛБЭКАИО","ффя7655","12/06/2017","12/06/2018","йакабяута-аваиас","авазас",217.82,162.49,32.5,1849
"P0101810550","AIG","аутойимгтым","аМАМщЫСГ","афл2236","17/04/2017","17/10/2017",NA,NA,42.8,32.3,6.46,1734
"P0101810550","AIG","аутойимгтым","аМАМщЫСГ","афл2236","17/10/2017","17/04/2018",NA,NA,45.01,33.95,6.79,1734
"11423329","GENERALI","фыгс","аМАМщЫСГ",NA,"24/08/2017","24/08/2018","цеяайас","аттийг",231.62,185.04,29.44,1278
"19012947461","имтеясакомийа","аутойимгтым","аМАМщЫСГ","иет3718","23/03/2017","23/09/2017","цеяайас","аттийг",145,98.15,19.63,1278
"19.21209181","INTERLIFE асжакистийг","аутойимгтым","мщО сУЛБЭКАИО","уву0059","30/11/2017","30/05/2018","цеяайас","аттийг",45.46,31.27,6.57,1278
"294824","DAS","молийгс пяостасиас","мщО сУЛБЭКАИО","иет 3718","23/09/2017","23/09/2018","цеяайас","аттийг",23,17.78,5.33,1278
"P0124031824","AIG","аутойимгтым","аМАМщЫСГ","улл5071","01/07/2017","01/07/2018","тяипокг","тяипокгс",181.34,135,27,1233
"19013635461","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уеу3372","07/08/2017","07/09/2017",NA,NA,24,15.65,3.13,1809
"213566502","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","уеу3372","07/07/2017","07/08/2017",NA,NA,24,15.65,3.13,1809
"50859404","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","илу5918","28/07/2017","28/01/2018","ахгма","аттийг",1.83,1.59,0.11,1751
"50859404","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","илу5918","28/07/2017","28/01/2018","ахгма","аттийг",220.53,157.35,36.19,1751
"50859404","ехмийг аСЖАКИСТИЙч","одийгс богхеиас","п пЯэНГ лЕТАТЯОПчР","илу5918","28/01/2017","28/07/2017","ахгма","аттийг",1.83,1.59,0.11,1751
"50859404","ехмийг аСЖАКИСТИЙч","аутойимгтым","аМАМщЫСГ","илу5918","28/01/2017","28/07/2017","ахгма","аттийг",220.53,157.35,36.19,1751
"1348970","аткамтийг емысг","аутойимгтым","мщО сУЛБЭКАИО","итл7704","06/07/2017","06/07/2018","йаккихеа","аттийг",211.5,142.76,28.55,1786
"19013511162","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифл8220","11/11/2017","11/05/2018",NA,NA,142,96.17,19.23,763
