"N_Policy","Company","Category","Type_policy","Char","Started","Expired","City","Gross","Net","Commissions","id"
"85526","ALLIANZ еуяыпаийг пистг","астийгс еухумгс","аМАМщЫСГ",NA,"27/01/2018","27/01/2019",NA,52,37.68,9.42,1872
"214235626","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","фге9073","09/11/2018","09/11/2019",NA,248,168.15,33.63,1009
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/10/2018","25/04/2019",NA,129,87.63,17.53,1702
"19012859150","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ифв4354","25/04/2018","25/10/2018",NA,129,87.63,17.53,1702
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/03/2018","24/09/2018","пеияаиас",121,81.75,16.35,1696
"19012708806","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффм2819","24/09/2018","24/03/2019","пеияаиас",121,81.75,16.35,1696
"19012708806","имтеясакомийа","аутойимгтым","п пЯэНГ лЕТАТЯОПчР","ффм2819","24/09/2018","24/03/2019","пеияаиас",9.02,6.17,1.23,1696
"5095241","Eurolife FFH","аутойимгтым","мщО сУЛБЭКАИО","йял3906","23/07/2018","23/01/2019","пк жикопаппоу",100.62,68.94,13.79,1954
"19013526395","имтеясакомийа","аутойимгтым","аМАМщЫСГ","уял3019","20/05/2018","20/05/2019",NA,223,150.69,30.14,1808
"213847822","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","гай3993","06/02/2018","06/02/2019","фаваяы",167,112.94,22.59,1871
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/04/2018","02/10/2018","гкиоупокг",116.04,79.51,15.9,1730
"30144598","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уфо4029","02/10/2018","02/04/2019","гкиоупокг",121.04,82.99,16.6,1730
"31350710","имтеяалеяийам","аутойимгтым","аМАМщЫСГ","уле6273","09/12/2018","09/12/2019","йаккихеа",136.46,93.12,18.62,1764
"7190089226","PRIME INSURANCE","аутойимгтым","аМАМщЫСГ","яий6470","04/08/2018","04/02/2019","каяиса",80.88,55.36,11.07,933
"7190089226","PRIME INSURANCE","аутойимгтым","мщО сУЛБЭКАИО","яий6470","04/02/2018","04/08/2018","каяиса",80.87,55.06,11.01,933
"6186278","GROUPAMA","пуяос","мщО сУЛБЭКАИО",NA,"13/11/2018","13/11/2019","ахгмаиым",251.96,182.49,41.97,1965
"19013820326","имтеясакомийа","аутойимгтым","аМАМщЫСГ","ффй7207","20/02/2018","20/05/2018","кебадеым",65,44.01,8.8,1207
"19014193732","имтеясакомийа","аутойимгтым","мщО сУЛБЭКАИО","яим0581","05/08/2018","05/08/2019",NA,51,34.26,6.85,1152
